i yellow olivedrab orange cyan
601 0 0.1260485 0.04352754 0
602 0 0 0 0
603 0 0 0 0
604 0 0 0 0
605 0 0 0 0
606 0 0 0 0
607 0 0 0 0.002040354
608 0 0 0 0
609 0 0.07390614 0.2273861 0
610 0 0 0 0
611 0 0 0 0.02040354
612 0 0 0 0
613 0 0.02040354 0 0
614 0 0 0.00226706 0
615 0 0 0 0
616 0.06959873 0 0.01836318 0.01314895
617 0 0 0 0
618 0 0 0 0.01564271
619 0 0 0 0
620 0 0.001586942 0 0
621 0 0 0 0
622 0 0 0 0
623 0 0 0 0
624 0 0 0 0
625 0 0 0 0.03763319
626 0 0 0 0
627 0 0 0 0
628 0 0 0 0.004534119
629 0 0 0 0
630 0 0 0 0.01020177
631 0 0 0 0
632 0 0 0 0
633 0.1450918 0 0 0.06733167
634 0 0 0 0
635 0 0 0 0
636 0 0 0 0
637 0 0 0 0
638 0 0 0 0.0378599
639 0 0 0 0
640 0 0 0 0.005667649
641 0 0 0 0
642 0 0.08705509 0 0
643 0 0 0 0
644 0.01314895 0 0 0.04080707
645 0 0 0 0
646 0 0 0 0
647 0 0.07163908 0 0
648 0 0 0 0.01178871
649 0 0 0 0.02244389
650 0 0 0 0
651 0 0 0 0
652 0 0 0 0.02199048
653 0 0 0 0.01224212
654 0 0 0 0
655 0 0 0 0.1824983
656 0 0 0 0.02811154
657 0.05055543 0 0 0.05078214
658 0 0 0 0.03922013
659 0 0 0 0
660 0.01178871 0 0.01314895 0.002040354
661 0 0.01790977 0 0.02063024
662 0 0 0 0
663 0 0 0 0.01360236
664 0 0 0 0.01586942
665 0 0.003627295 0.06325096 0
666 0 0 0 0
667 0 0 0 0
668 0.01314895 0 0 0.1063251
669 0 0 0 0.007934709
670 0 0 0 0
671 0 0 0 0
672 0 0 0 0
673 0 0 0 0
674 0 0 0 0.003854001
675 0 0 0 0
676 0 0 0 0
677 0 0 0 0
678 0 0 0 0.01745636
679 0 0 0 0
680 0 0 0 0
681 0 0 0 0
682 0 0 0 0
683 0 0 0 0
684 0 0 0 0
685 0 0.002720472 0 0
686 0 0 0 0
687 0 0 0 0
688 0 0 0 0
689 0.004534119 0 0 0.01088189
690 0 0.1165269 0.04420766 0
691 0 0 0 0.32691
692 0 0 0 0
693 0 0 0 0
694 0 0 0 0
695 0 0.01586942 0.02199048 0.05123555
696 0 0 0 0
697 0 0 0 0
698 0 0.00226706 0 0.004534119
699 0 0 0 0
700 0 0 0 0
701 0 0 0 0
702 0 0 0 0
703 0 0 0 0
704 0 0 0 0
705 0 0 0 0.004307413
706 0 0 0.0226706 0
707 0 0.03128542 0 0
708 0 0 0 0
709 0 0 0 0
710 0.005894355 0 0 0
711 0 0 0 0.02992519
712 0 0 0 0
713 0 0.1784176 0.2783949 0
714 0 0 0 0
715 0 0 0 0
716 0 0 0 0
717 0 0 0 0.003627295
718 0 0 0 0
719 0 0 0.00952165 0
720 0 0.01654954 0 0
721 0 0 0 0.02108365
722 0 0 0 0.04851508
723 0 0 0 0
724 0.002720472 0 0 0.2774881
725 0 0 0 0.004080707
726 0 0 0 0
727 0 0 0.004987531 0
728 0 0 0 0
729 0 0 0 0.01496259
730 0 0.02153707 0.01110859 0
731 0 0 0 0
732 0.003400589 0 0 0.01790977
733 0 0 0 0
734 0 0 0 0
735 0 0.004534119 0 0.06030379
736 0 0 0 0
737 0 0.001586942 0 0
738 0 0 0 0
739 0 0 0 0
740 0 0 0 0
741 0 0 0 0
742 0 0 0 0
743 0 0 0 0
744 0 0 0 0.00952165
745 0 0 0 0.05508955
746 0 0 0 0
747 0 0 0 0.003854001
748 0.011562 0 0 0.09907051
749 0 0.05758331 0.001586942 0
750 0 0 0 0
751 0 0.05259578 0.008841533 0
752 0 0.003400589 0 0
753 0 0 0 0.01586942
754 0 0 0 0
755 0 0 0 0.01382906
756 0 0 0 0.009294944
757 0 0 0 0
758 0 0 0 0
759 0 0 0 0
760 0.06302426 0 0 0.03536613
761 0 0.0006801179 0 0
762 0 0 0 0
763 0 0 0 0.03899343
764 0 0 0 0
765 0 0 0 0.02357742
766 0 0 0 0
767 0 0 0 0.006347767
768 0 0 0 0
769 0 0 0 0
770 0 0 0.004760825 0.0113353
771 0 0 0 0
772 0 0 0 0
773 0 0 0 0
774 0 0 0 0.02584448
775 0 0 0 0
776 0 0 0 0
777 0 0 0 0
778 0 0 0 0
779 0 0 0 0
780 0 0 0 0.1500793
781 0 0.05350261 0.003854001 0.01836318
782 0 0 0 0.0009068238
783 0 0 0 0.006121061
784 0 0 0.0267513 0
785 0 0.007481297 0 0.01020177
786 0 0 0 0.005440943
787 0 0 0 0
788 0.03672637 0 0 0.05100884
789 0 0 0 0
790 0 0 0 0
791 0 0 0.04738155 0
792 0 0 0 0.003400589
793 0 0 0 0
794 0 0 0 0
795 0 0 0.002947178 0.02561777
796 0 0 0 0
797 0 0 0 0
798 0 0 0 0.0190433
799 0 0 0 0.003627295
800 0 0 0 0
801 0 0 0 0.02131036
802 0 0 0 0
803 0 0 0 0
804 0 0.003854001 0.008614827 0
805 0 0.0380866 0 0
806 0 0 0 0.009975062
807 0 0 0 0.006347767
808 0 0 0 0.003627295
809 0 0.002947178 0 0
810 0 0 0 0
811 0 0 0.002493766 0.01224212
812 0 0 0 0
813 0 0 0 0
814 0 0 0 0
815 0 0 0 0
816 0 0 0 0
817 0 0.005667649 0 0
818 0 0 0 0.02743142
819 0 0 0 0
820 0 0 0 0
821 0 0 0 0.006574473
822 0 0 0 0
823 0 0.01586942 0 0.002040354
824 0 0.0226706 0.04511449 0
825 0 0 0 0
826 0 0 0 0
827 0 0 0 0
828 0 0 0 0
829 0 0 0.05735661 0
830 0 0 0 0
831 0 0 0 0
832 0 0 0 0
833 0 0 0 0
834 0 0 0 0
835 0 0 0 0.001360236
836 0 0 0 0.0006801179
837 0 0 0 0
838 0 0 0 0.04466107
839 0 0 0 0
840 0 0 0 0.1312628
841 0 0 0 0
842 0 0.03105872 0.06710496 0
843 0 0 0 0
844 0 0 0 0
845 0 0 0 0
846 0 0 0 0
847 0 0 0 0
848 0 0 0 0
849 0 0 0 0.002947178
850 0 0 0 0.02085695
851 0 0.08320109 0.007254591 0
852 0 0.0006801179 0 0.03309907
853 0 0 0 0.05372931
854 0 0 0 0
855 0 0 0 0
856 0 0 0 0
857 0 0 0 0.02879166
858 0 0 0 0
859 0 0 0 0
860 0 0 0 0
861 0 0 0 0
862 0 0 0 0
863 0 0 0 0
864 0 0 0 0
865 0 0.07095897 0 0
866 0 0 0 0
867 0 0 0 0
868 0 0 0 0
869 0 0 0 0
870 0 0.06551802 0.05372931 0
871 0 0 0 0
872 0 0.01813648 0 0
873 0 0 0 0
874 0 0 0 0
875 0 0 0 0.01201542
876 0 0 0 0
877 0 0 0 0.01110859
878 0 0 0 0
879 0 0 0 0
880 0 0 0 0
881 0 0.05463614 0 0
882 0 0 0 0
883 0.01700295 0 0 0.003627295
884 0 0 0 0
885 0 0 0 0
886 0 0 0 0
887 0 0 0.01927001 0
888 0 0 0 0
889 0 0 0 0.01768307
890 0 0 0 0.01405577
891 0 0 0 0
892 0 0.04216731 0 0
893 0 0 0 0.09317615
894 0 0 0 0.008841533
895 0 0 0 0
896 0.02244389 0 0 0.2622988
897 0 0 0 0
898 0 0.0004534119 0 0
899 0 0 0 0
900 0 0 0 0
901 0.02561777 0 0.01609612 0.0380866
902 0 0 0 0
903 0 0 0.01314895 0.008161415
904 0 0 0 0
905 0 0 0 0
906 0 0 0 0
907 0 0 0 0
908 0 0 0 0
909 0 0.0004534119 0 0.04126049
910 0 0 0 0
911 0 0 0 0.003854001
912 0 0 0 0
913 0 0 0 0
914 0 0 0 0.02743142
915 0 0 0 0
916 0 0 0 0
917 0 0 0 0
918 0 0 0 0.007254591
919 0 0 0 0
920 0 0 0 0
921 0 0 0 0
922 0 0 0 0
923 0 0 0 0
924 0 0 0 0
925 0 0 0 0
926 0 0 0 0
927 0 0 0 0.007481297
928 0 0 0 0.01224212
929 0 0.1183405 0.0151893 0
930 0 0 0 0
931 0 0.02765813 0 0
932 0 0 0 0
933 0.02901836 0 0 0.0378599
934 0 0 0 0
935 0 0.07549309 0.06189073 0
936 0 0 0 0
937 0 0 0 0
938 0 0 0 0
939 0 0 0 0
940 0 0 0 0
941 0 0 0 0
942 0 0 0 0
943 0 0 0 0.001360236
944 0 0 0 0
945 0 0 0 0
946 0 0.1124462 0.02085695 0
947 0 0 0 0
948 0.08909544 0 0.004534119 0.03922013
949 0 0 0 0
950 0 0 0 0
951 0 0 0 0
952 0 0.002040354 0 0
953 0 0 0 0
954 0.007481297 0 0 0.04670143
955 0 0 0 0
956 0 0 0 0.01428248
957 0 0 0.003400589 0.005667649
958 0 0 0 0
959 0 0 0.01360236 0.01201542
960 0 0 0.2477896 0.01065518
961 0 0.104058 0.004534119 0
962 0 0 0 0
963 0 0 0.008841533 0.01246883
964 0 0 0 0
965 0 0 0 0
966 0 0.005894355 0 0
967 0 0 0 0
968 0.001360236 0 0 0.01246883
969 0.05168896 0 0 0.01881659
970 0 0 0.2203582 0.01995012
971 0 0 0 0.03854001
972 0 0 0 0.1564271
973 0 0 0 0
974 0 0 0.001586942 0
975 0 0 0 0
976 0.2341873 0 0 0.3196554
977 0 0 0 0.001360236
978 0 0 0 0.002720472
979 0 0 0 0
980 0 0 0 0.008161415
981 0 0 0 0
982 0 0 0 0
983 0 0 0 0
984 0 0 0 0
985 0 0 0 0
986 0 0 0 0.02697801
987 0 0 0 0
988 0 0 0 0.01768307
989 0 0 0 0
990 0 0.1008842 0 0
991 0.005440943 0 0 0.05032872
992 0 0 0.07345273 0.01949671
993 0 0 0 0
994 0 0 0 0
995 0 0 0 0
996 0 0 0 0
997 0 0 0 0
998 0 0 0 0.0006801179
999 0 0 0.003627295 0
1000 0.002040354 0 0 0
