"i" "typeI.0" "typeI.2"
"791" 1035 0.001815294 0.2291808
"792" 1036 0 0.007034264
"793" 1037 0.007034264 0.003857499
"794" 1038 0 0.04697073
"795" 1039 0 0
"796" 1040 0.1692762 0.08463808
"797" 1041 0 0.006353528
"798" 1042 0.02949853 0.02337191
"799" 1043 0.03017926 0.0004538235
"800" 1044 0.02382573 0.01384162
"801" 1045 0.02064897 0.01293397
"802" 1046 0 0.004084411
"803" 1047 0.006807352 0.001588382
"804" 1048 0 0.01111867
"805" 1049 0.1145904 0.004311323
"806" 1050 0 0.01679147
"807" 1051 0 0.003176764
"808" 1052 0.01974132 0.05014749
"809" 1053 0.004992058 0.02859088
"810" 1054 0 0.002269117
"811" 1055 0.00136147 0.02972544
"812" 1056 0 0.0004538235
"813" 1057 0 0.001588382
"814" 1058 0 0.01474926
"815" 1059 0 0.003403676
"816" 1060 0.007941911 0.008622646
"817" 1061 0.0006807352 0.03607897
"818" 1062 0 0.03403676
"819" 1063 0 0.009303381
"820" 1064 0.02632176 0.03449058
"821" 1065 0 0.03040617
"822" 1066 0.01021103 0.02541411
"823" 1067 0 0.02881779
"824" 1068 0 0.006353528
"825" 1069 0.1252553 0.07215793
"826" 1070 0 0.00521897
"827" 1071 0 0.002949853
"828" 1072 0 0.0002269117
"829" 1073 0.0270025 0.3081461
"830" 1074 0.0009076469 0.002722941
"831" 1075 0 0
"832" 1076 0 0.009757204
"833" 1077 0 0.003857499
"834" 1078 0 0.001815294
"835" 1079 0 0.01134559
"836" 1080 0.0004538235 0.003857499
"837" 1081 0 0.01543
"838" 1082 0.0002269117 0.03925573
"839" 1083 0.01452235 0
"840" 1084 0.0290447 0.01883367
"841" 1085 0.002042206 0
"842" 1086 0.004084411 0.03108691
"843" 1087 0.0290447 0.1211709
"844" 1088 0 0.002042206
"845" 1089 0.5386885 0.3217608
"846" 1090 0 0.01406853
"847" 1091 0 0.002722941
"848" 1092 0.05105514 0.00521897
"849" 1093 0 0.006807352
"850" 1094 0 0.005672793
"851" 1095 0 0.002042206
"852" 1096 0.00136147 0.03108691
"853" 1097 0 0.01021103
"854" 1098 0.0002269117 0
"855" 1099 0.0136147 0.008622646
"856" 1100 0.003857499 0.03744044
"857" 1101 0 0
"858" 1102 0 0.003857499
"859" 1103 0 0
"860" 1104 0 0.1506694
"861" 1105 0 0.002042206
"862" 1106 0.001588382 0.2607216
"863" 1107 0 0.0009076469
"864" 1108 0.01134559 0.03471749
"865" 1109 0.02473338 0.2598139
"866" 1110 0.004992058 0.2963467
"867" 1111 0.02337191 0
"868" 1112 0 0.04946676
"869" 1113 0.003176764 0.01293397
"870" 1114 0 0.006807352
"871" 1115 0.01497617 0.001588382
"872" 1116 0 0
"873" 1117 0 0
"874" 1118 0.008395734 0.005672793
"875" 1119 0.3324257 0.05740867
"876" 1120 0.001588382 0.002042206
"877" 1121 0 0.02541411
"878" 1122 0.0192875 0.06852734
"879" 1123 0.0009076469 0
"880" 1124 0.001134559 0.04334014
"881" 1125 0 0.009530293
"882" 1126 0 0
"883" 1127 0.0002269117 0
"884" 1128 0.001134559 0
"885" 1129 0.0006807352 0.004538235
"886" 1130 0.002949853 0.008168822
"887" 1131 0 0.004765146
"888" 1132 0 0.005445882
"889" 1133 0 0.01225323
"890" 1134 0.0002269117 0.02405264
"891" 1135 0 0.03312911
"892" 1136 0 0.01248015
"893" 1137 0 0.01656456
"894" 1138 0.0002269117 0.0192875
"895" 1139 0 0.02019514
"896" 1140 0 0.03970955
"897" 1141 0 0.00136147
"898" 1142 0.02995235 0.2629907
"899" 1143 0.02654867 0.06671205
"900" 1144 0 0.03040617
"901" 1145 0.09734513 0
"902" 1146 0 0.01066485
"903" 1147 0 0.01270706
"904" 1148 0.05445882 0.3365101
"905" 1149 0.06830043 0.06557749
"906" 1150 0.01429544 0.0928069
"907" 1151 0 0.0004538235
"908" 1152 0.004084411 0.03017926
"909" 1153 0 0.0270025
"910" 1154 0 0
"911" 1155 0 0.008622646
"912" 1156 0 0.0006807352
