"i" "SiZer-0" "SiZer-2"
"691" 691 0 0
"692" 692 0 0.6580087
"693" 693 0 0
"694" 694 0 0
"695" 695 0 0
"696" 696 0.3073593 0.09090909
"697" 697 0 0
"698" 698 0 0.004329004
"699" 699 0.01731602 0
"700" 700 0 0
"701" 701 0 0
"702" 702 0 0
"703" 703 0 0.004329004
"704" 704 0 0
"705" 705 0 0
"706" 706 0 0
"707" 707 0 0.06926407
"708" 708 0.02164502 0.004329004
"709" 709 0 0
"710" 710 0 0
"711" 711 0.01298701 0
"712" 712 0 0.5064935
"713" 713 0 0
"714" 714 0.3333333 0.6017316
"715" 715 0 0
"716" 716 0 0
"717" 717 0 0
"718" 718 0 0.02164502
"719" 719 0 0
"720" 720 0 0.05194805
"721" 721 0.01298701 0
"722" 722 0 0.03030303
"723" 723 0 0.1125541
"724" 724 0 0
"725" 725 0.2640693 0.4632035
"726" 726 0 0
"727" 727 0 0
"728" 728 0.01731602 0.01298701
"729" 729 0 0
"730" 730 0 0.03896104
"731" 731 0 0.02597403
"732" 732 0 0
"733" 733 0 0.004329004
"734" 734 0 0
"735" 735 0 0.01731602
"736" 736 0 0
"737" 737 0 0
"738" 738 0 0
"739" 739 0 0
"740" 740 0 0
"741" 741 0 0
"742" 742 0 0
"743" 743 0 0
"744" 744 0 0.06493506
"745" 745 0 0.008658009
"746" 746 0 0.1861472
"747" 747 0 0.06926407
"748" 748 0 0
"749" 749 0 0.07792208
"750" 750 0 0
"751" 751 0 0
"752" 752 0.0952381 0.02597403
"753" 753 0.0995671 0
"754" 754 0 0.1298701
"755" 755 0 0
"756" 756 0 0.03030303
"757" 757 0 0.01298701
"758" 758 0 0
"759" 759 0 0
"760" 760 0 0
"761" 761 0.1991342 0.06926407
"762" 762 0.004329004 0
"763" 763 0 0
"764" 764 0.01298701 0.1125541
"765" 765 0 0
"766" 766 0 0.05194805
"767" 767 0 0
"768" 768 0 0.02164502
"769" 769 0 0
"770" 770 0 0
"771" 771 0 0.06060606
"772" 772 0 0
"773" 773 0 0
"774" 774 0 0
"775" 775 0.01731602 0.1298701
"776" 776 0 0
"777" 777 0 0.01731602
"778" 778 0 0
"779" 779 0 0
"780" 780 0 0
"781" 781 0 0.4632035
"782" 782 0.04329004 0
"783" 783 0 0
"784" 784 0 0.004329004
