"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz" "Bias_cond"
"253" "4_m2" 0.418 3.92131e-13 1.06352e-12 9.45349e-12 "vd05vg1"
"254" "4_m3" 0.402 6.40807e-13 2.7832e-12 6.60054e-11 "vd05vg1"
"255" "5_0" 0.41 2.47034e-13 7.07424e-13 6.70331e-12 "vd05vg1"
"256" "5_1" 0.434 5.22573e-13 8.59035e-13 6.93682e-12 "vd05vg1"
"257" "5_2" 0.402 4.49137e-13 1.03826e-12 1.06893e-11 "vd05vg1"
"258" "5_m1" 0 5.0979e-13 9.28644e-13 8.75165e-12 "vd05vg1"
"259" "5_m2" 0.388 4.47549e-13 9.94374e-13 1.04948e-11 "vd05vg1"
"260" "5_m3" 0 1.67704e-11 1.69633e-10 3.75784e-09 "vd05vg1"
"261" "6_0" 0.414 4.99216e-13 1.37193e-12 9.92101e-12 "vd05vg1"
"262" "6_m1" 0.43 5.08943e-13 1.23919e-12 9.00811e-12 "vd05vg1"
"263" "m1_0" 0.434 4.61623e-13 1.15111e-12 8.04111e-12 "vd05vg1"
"264" "m1_1" 0.41 6.80673e-13 8.79679e-13 6.45723e-12 "vd05vg1"
"265" "m1_2" 0.392 4.05893e-13 1.32678e-12 9.60385e-12 "vd05vg1"
"266" "m1_3" 0.394 8.58726e-13 2.61654e-12 5.23889e-11 "vd05vg1"
"267" "m1_4" 0.43 5.28366e-13 2.03283e-12 1.51858e-11 "vd05vg1"
"268" "m1_5" 0.366 5.02298e-13 1.96453e-12 1.53602e-11 "vd05vg1"
"269" "m1_m1" 0.434 3.62946e-13 9.35454e-13 6.56039e-12 "vd05vg1"
"270" "m1_m2" 0.394 6.58885e-13 9.94248e-12 3.84711e-10 "vd05vg1"
"271" "m1_m3" 0.414 3.62523e-13 1.26375e-12 9.35019e-12 "vd05vg1"
"272" "m1_m4" 0 5.62797e-12 1.26362e-11 2.21494e-10 "vd05vg1"
"273" "m1_m5" 0.438 3.6784e-13 1.45993e-12 1.02705e-11 "vd05vg1"
"274" "m1_m6" 0.41 7.63941e-13 1.60201e-12 1.49403e-11 "vd05vg1"
