"DIE" "lognoise" "Vth" "Freq" "biasCond"
"212" "3_2" 1.09873550104431 0.418 100 "vd05vg1"
"213" "3_3" 0.831050339736183 0.394 100 "vd05vg1"
"214" "3_m1" 0.907793221478542 0.498 100 "vd05vg1"
"215" "3_m2" 3.55080766646254 0.418 100 "vd05vg1"
"216" "3_m3" 2.65018634221028 0.434 100 "vd05vg1"
"217" "3_m4" 0.496497590819324 0.442 100 "vd05vg1"
"218" "4_0" 0.106584295242559 0.422 100 "vd05vg1"
"219" "4_1" 0.400715666189829 0.352 100 "vd05vg1"
"220" "4_2" 1.02787443386461 0.426 100 "vd05vg1"
"221" "4_m1" 0.452974501686768 0.426 100 "vd05vg1"
"222" "4_m2" 0.794682620007428 0.418 100 "vd05vg1"
"223" "4_m3" 2.73803519137273 0.402 100 "vd05vg1"
"224" "5_0" 0.450900068766515 0.41 100 "vd05vg1"
"225" "5_1" 0.485142090761872 0.434 100 "vd05vg1"
"226" "5_2" 0.917541875645693 0.402 100 "vd05vg1"
"227" "5_m2" 0.89917853090877 0.388 100 "vd05vg1"
"228" "6_0" 0.842953365141582 0.414 100 "vd05vg1"
"229" "6_m1" 0.746423917201867 0.43 100 "vd05vg1"
"230" "m1_0" 0.632865767874421 0.434 100 "vd05vg1"
"231" "m1_1" 0.413499067778446 0.41 100 "vd05vg1"
"232" "m1_2" 0.810462694256159 0.392 100 "vd05vg1"
"233" "m1_3" 2.50699337133776 0.394 100 "vd05vg1"
"234" "m1_4" 1.26865941519071 0.43 100 "vd05vg1"
"235" "m1_5" 1.28007838297951 0.366 100 "vd05vg1"
"236" "m1_m1" 0.429348686919774 0.434 100 "vd05vg1"
"237" "m1_m2" 4.50079103757026 0.394 100 "vd05vg1"
"238" "m1_m3" 0.783695298461161 0.414 100 "vd05vg1"
"239" "m1_m5" 0.877574342758507 0.438 100 "vd05vg1"
"240" "m1_m6" 1.25236089433577 0.41 100 "vd05vg1"
"241" "m2_0" 1.05933588687667 0.414 100 "vd05vg1"
"242" "m2_1" 0.509207171878668 0.422 100 "vd05vg1"
"243" "m2_2" 1.64620384879995 0.418 100 "vd05vg1"
"244" "m2_3" 1.06215710624918 0.37 100 "vd05vg1"
"245" "m2_4" 1.59500440132203 0.394 100 "vd05vg1"
"246" "m2_m1" 0.156105217050168 0.438 100 "vd05vg1"
"247" "m2_m2" 0.734865508643406 0.414 100 "vd05vg1"
"248" "m2_m3" 0.91316344947591 0.422 100 "vd05vg1"
"249" "m2_m4" 1.20966245693482 0.422 100 "vd05vg1"
"250" "m3_2" 2.02907707884391 0.374 100 "vd05vg1"
"251" "m3_3" 1.29823905937381 0.41 100 "vd05vg1"
"252" "m3_m1" 0.634916862064848 0.43 100 "vd05vg1"
"253" "m3_m2" 1.38834154507212 0.426 100 "vd05vg1"
"254" "m3_m3" 0.431700961069051 0.422 100 "vd05vg1"
"255" "m3_m4" 0.605617259103482 0.418 100 "vd05vg1"
"256" "m4_0" 1.34811942511942 0.408 100 "vd05vg1"
"257" "m4_1" 0.507377409638632 0.41 100 "vd05vg1"
